"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"160258";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEP58311";"F-R 7571";"141213";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"157325";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI Automatik";"VF7SA9HP8EW568946";"F-R 7165";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167764";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFD68552";"F-R 9032";"142885";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"172303";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58114";"F-R 7301";"97612";"88";"Diesel";"Langzeitmiete";"52 l";"Invers BCSA 2006 GPRS";"Flinkster (Endkd.)";"DB Fuhrpark"
"160099";"Auto";"Ford";"Focus";"1,6 Diesel 85kW NAVI";"WF0LXXGCBLEM23801";"F-R 7295";"";"85";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"172277";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58514";"F-R 7434";"153183";"88";"Diesel";"Langzeitmiete";"52 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"160263";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEP58324";"F-R 7448";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"157331";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI Automatik";"VF7SA9HP8EW597541";"F-R 7223";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167767";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFD68551";"F-R 9031";"142749";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"160149";"Auto";"Ford";"Ka";"1,2 Benzin 51kW";"WF0UXXLTRUEU86601";"F-R 7385";"";"51";"Super E10";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"156816";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEL16950";"F-R 8639";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"172291";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58161";"F-R 7263";"141246";"88";"Diesel";"Langzeitmiete";"52 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"161385";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4285807";"F-R 8746";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167768";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFD68548";"F-R 9028";"142893";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"172307";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58108";"F-R 7021";"129001";"88";"Diesel";"Langzeitmiete";"52 l";"Invers BCSA 2006 GPRS";"Flinkster (Endkd.)";"DB Fuhrpark"
"168060";"Auto";"Ford";"Fiesta";"1,6 Diesel 70KW NAVI";"WF0DXXGAKDFK32469";"F-R 8789";"151289";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"160264";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEP58325";"F-R 7561";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"161334";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4285722";"F-R 8234";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"161386";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4285968";"F-R 8745";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"157327";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI Automatik";"VF7SA9HP8EW597542";"F-R 7218";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167769";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFD68540";"F-R 7555";"142750";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"156821";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEL16955";"F-R 8629";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"170242";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FE23175";"F-R 9147";"151200";"88";"Diesel";"Langzeitmiete";"52 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"172299";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58498";"F-R 7424";"129083";"88";"Diesel";"Langzeitmiete";"52 l";"Invers BCSA 2006 GPRS";"Flinkster (Endkd.)";"DB Fuhrpark"
"157351";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4190184";"F-R 7006";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"160162";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEM17193";"F-R 7392";"140469";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
